cd;nm;b;n;a;r
E09000001;City of London;London Borough;7375;2.8978;2545.034164
E09000002;Barking and Dagenham;London Borough;185911;36.0904;5151.259061
E09000003;Barnet;London Borough;356386;86.7372;4108.802221
E09000004;Bexley;London Borough;231997;60.5595;3830.893584
E09000005;Brent;London Borough;311215;43.2352;7198.185738
E09000006;Bromley;London Borough;309392;150.1545;2060.491028
E09000007;Camden;London Borough;220338;21.796;10109.10259
E09000008;Croydon;London Borough;363378;86.5189;4199.98405
E09000009;Ealing;London Borough;338449;55.525;6095.434489
E09000010;Enfield;London Borough;312466;80.8294;3865.746869
E09000011;Greenwich;London Borough;254557;47.3438;5376.77584
E09000012;Hackney;London Borough;246270;19.0635;12918.40428
E09000013;Hammersmith and Fulham;London Borough;182493;16.404;11124.90856
E09000014;Haringey;London Borough;254926;29.5885;8615.712185
E09000015;Harrow;London Borough;239056;50.4691;4736.680464
E09000016;Havering;London Borough;237232;112.3635;2111.290588
E09000017;Hillingdon;London Borough;273936;115.6987;2367.667052
E09000018;Hounslow;London Borough;253957;55.9862;4536.064244
E09000019;Islington;London Borough;206125;14.8595;13871.59729
E09000020;Kensington and Chelsea;London Borough;158649;12.1295;13079.59932
E09000021;Kingston upon Thames;London Borough;160060;37.2469;4297.270377
E09000022;Lambeth;London Borough;303086;26.8214;11300.15585
E09000023;Lewisham;London Borough;275885;35.1454;7849.818184
E09000024;Merton;London Borough;199693;37.6087;5309.755456
E09000025;Newham;London Borough;307984;36.2236;8502.302366
E09000026;Redbridge;London Borough;278970;56.4114;4945.277018
E09000027;Richmond upon Thames;London Borough;186990;57.4152;3256.803077
E09000028;Southwark;London Borough;288283;28.8541;9991.058463
E09000029;Sutton;London Borough;190146;43.8502;4336.263005
E09000030;Tower Hamlets;London Borough;254096;19.769;12853.2551
E09000031;Waltham Forest;London Borough;258249;38.814;6653.501314
E09000032;Wandsworth;London Borough;306995;34.2629;8959.982955
E09000033;Westminster;London Borough;219396;21.4778;10215.01271
